player	game	pts	att	cmp	yds	td	int	2pt	att	yds	td	2pt	rec	yds	td	2pt	fl	td
Patrick Mahomes	KC@ARI	44.00	39	30	360	5	0	0	3	5	0	0	0	0	0	0	0	0
Josh Allen	BUF@LA	36.00	31	26	297	3	2	0	10	56	1	0	0	0	0	0	0	0
Carson Wentz	JAX@WAS	35.00	41	27	313	4	2	1	6	12	0	0	0	0	0	0	0	0
Justin Herbert	LV@LAC	29.00	34	26	279	3	0	0	4	1	0	0	0	0	0	0	0	0
Lamar Jackson	BAL@NYJ	25.00	30	17	213	3	1	0	6	17	0	0	0	0	0	0	0	0
Jalen Hurts	PHI@DET	24.00	32	18	243	0	0	0	17	90	1	0	0	0	0	0	0	0
Jameis Winston	NO@ATL	24.00	34	23	269	2	0	1	2	9	0	0	0	0	0	0	0	0
Kirk Cousins	GB@MIN	23.00	32	23	277	2	0	0	0	0	0	0	0	0	0	0	0	0
Kyler Murray	KC@ARI	23.00	34	22	193	2	0	1	5	29	0	0	0	0	0	0	0	0
Joe Burrow	PIT@CIN	22.00	53	33	338	2	4	1	6	47	0	0	0	0	0	0	1	0
Ryan Tannehill	NYG@TEN	22.00	33	20	266	2	0	0	2	7	0	0	0	0	0	0	0	0
Daniel Jones	NYG@TEN	20.00	21	17	188	2	1	1	6	25	0	0	0	0	0	0	1	0
Marcus Mariota	NO@ATL	20.00	33	20	215	0	0	0	12	72	1	0	0	0	0	0	1	0
Davis Mills	IND@HOU	20.00	37	23	240	2	0	0	2	-1	0	0	0	0	0	0	1	0
Geno Smith	DEN@SEA	20.00	28	23	195	2	0	0	6	14	0	0	0	0	0	0	0	0
Baker Mayfield	CLE@CAR	19.00	27	16	235	1	1	0	5	6	1	0	0	0	0	0	0	0
Russell Wilson	DEN@SEA	19.00	42	29	340	1	0	0	1	2	0	0	0	0	0	0	0	0
Jared Goff	PHI@DET	18.00	37	21	215	2	1	0	2	9	0	0	0	0	0	0	0	0
Matt Ryan	IND@HOU	18.00	50	32	352	1	1	0	4	12	0	0	0	0	0	0	1	0
Derek Carr	LV@LAC	17.00	37	22	295	2	3	0	0	0	0	0	0	0	0	0	0	0
Justin Fields	SF@CHI	16.00	17	8	121	2	1	0	11	28	0	0	0	0	0	0	0	0
Joe Flacco	BAL@NYJ	16.00	59	37	309	1	1	0	1	0	0	0	0	0	0	0	0	0
Tua Tagovailoa	NE@MIA	16.00	33	23	270	1	0	0	2	0	0	0	0	0	0	0	0	0
Trevor Lawrence	JAX@WAS	15.00	42	24	275	1	1	0	2	4	0	0	0	0	0	0	0	0
Mitchell Trubisky	PIT@CIN	13.00	38	21	194	1	0	0	3	9	0	0	0	0	0	0	0	0
Tom Brady	TB@DAL	12.00	27	18	212	1	1	0	2	-1	0	0	0	0	0	0	0	0
Jacoby Brissett	CLE@CAR	12.00	34	18	147	1	0	0	4	10	0	0	0	0	0	0	0	0
Mac Jones	NE@MIA	11.00	30	21	213	1	1	0	2	0	0	0	0	0	0	0	1	0
Trey Lance	SF@CHI	9.00	28	13	164	0	1	0	13	54	0	0	0	0	0	0	0	0
Matthew Stafford	BUF@LA	9.00	41	29	240	1	3	0	1	2	0	0	0	0	0	0	0	0
Dak Prescott	TB@DAL	4.00	29	14	134	0	1	0	2	11	0	0	0	0	0	0	0	0
Aaron Rodgers	GB@MIN	4.00	34	22	195	0	1	0	1	-1	0	0	0	0	0	0	1	0
Jordan Love	GB@MIN	2.00	5	4	65	0	0	0	0	0	0	0	0	0	0	0	0	0
Trace McSorley	KC@ARI	2.00	4	2	12	0	0	0	3	20	0	0	0	0	0	0	0	0
Cooper Rush	TB@DAL	2.00	13	7	64	0	0	0	0	0	0	0	0	0	0	0	0	0
Jeff Driskel	IND@HOU	0.00	0	0	0	0	0	0	1	5	0	0	0	0	0	0	0	0
